utt,ch1,ch2,ch3,ch4,ch5,ch6
F02_026C020Q_BTH,0.995,0.778,0.995,0.993,0.993,0.992
F02_20FC0103_BTH,0.983,0.935,0.983,0.990,0.993,0.993
F02_401O030H_BTH,0.990,0.946,0.990,0.992,0.995,0.995
F02_40AC0206_BTH,0.992,0.965,0.992,0.992,0.992,0.990
F02_403C020D_BTH,0.988,0.935,0.988,0.996,0.996,0.993
F02_011C020X_BTH,0.984,0.953,0.984,0.992,0.992,0.990
F02_014C0204_BTH,0.992,0.936,0.992,0.993,0.994,0.994
F02_015C0212_BTH,0.985,0.947,0.985,0.994,0.996,0.996
F02_20LC010Q_BTH,0.991,0.939,0.991,0.996,0.996,0.994
F02_016O0315_BTH,0.972,0.914,0.972,0.990,0.990,0.990
F02_406O031D_BTH,0.994,0.979,0.994,0.997,0.997,0.997
F02_40JO030Y_BTH,0.988,0.935,0.988,0.990,0.994,0.994
F02_028O0302_BTH,0.984,0.899,0.984,0.992,0.993,0.993
F02_404O030P_BTH,0.992,0.970,0.992,0.997,0.997,0.996
F02_405C020N_BTH,0.994,0.938,0.994,0.994,0.994,0.993
F02_013C020C_BTH,0.993,0.939,0.993,0.996,0.997,0.997
F02_01UC021B_BTH,0.994,0.959,0.994,0.997,0.997,0.995
F02_40LO0304_BTH,0.984,0.956,0.984,0.995,0.995,0.984
F02_027C021B_BTH,0.983,0.976,0.983,0.995,0.995,0.995
F02_011C020U_BTH,0.988,0.941,0.988,0.995,0.995,0.992
F02_015C020B_BTH,0.985,0.942,0.985,0.994,0.994,0.988
F02_029C020L_BTH,0.993,0.983,0.993,0.991,0.994,0.994
F02_01IO030Z_BTH,0.988,0.973,0.988,0.993,0.993,0.993
F02_01KC021B_BTH,0.981,0.945,0.981,0.991,0.994,0.994
F02_204O0101_BTH,0.979,0.936,0.979,0.996,0.996,0.994
F02_024C0211_BTH,0.986,0.939,0.986,0.991,0.991,0.988
F02_01DC0204_BTH,0.990,0.939,0.990,0.995,0.997,0.997
F02_01PO030R_BTH,0.993,0.938,0.993,0.995,0.995,0.992
F02_013O0313_BTH,0.986,0.919,0.986,0.990,0.990,0.990
F02_20DC010K_BTH,0.989,0.912,0.989,0.993,0.993,0.990
F02_017C021C_BTH,0.992,0.924,0.992,0.997,0.997,0.992
F02_40NO030T_BTH,0.989,0.959,0.989,0.992,0.992,0.986
F02_405O0307_BTH,0.978,0.975,0.978,0.997,0.998,0.998
F02_40FC021F_BTH,0.995,0.926,0.995,0.994,0.994,0.992
F02_209C010H_BTH,0.983,0.923,0.983,0.988,0.990,0.990
F02_206O010B_BTH,0.986,0.960,0.986,0.995,0.995,0.995
F02_01IO0307_BTH,0.977,0.939,0.977,0.988,0.988,0.987
F02_024O0311_BTH,0.989,0.971,0.989,0.994,0.994,0.994
F02_40PO0302_BTH,0.983,0.932,0.983,0.993,0.993,0.993
F02_40JO0307_BTH,0.980,0.941,0.980,0.987,0.993,0.993
F02_029O0308_BTH,0.993,0.953,0.993,0.995,0.998,0.998
F02_015C020R_BTH,0.990,0.962,0.990,0.993,0.995,0.995
F02_01EC020P_BTH,0.987,0.909,0.987,0.990,0.991,0.991
F02_406C021E_BTH,0.985,0.929,0.985,0.993,0.993,0.992
F02_40HO030Z_BTH,0.987,0.949,0.987,0.994,0.994,0.993
F02_01MC0209_BTH,0.992,0.930,0.992,0.992,0.992,0.988
F02_026C0217_BTH,0.994,0.891,0.994,0.983,0.994,0.994
F02_409O030X_BTH,0.989,0.913,0.989,0.994,0.994,0.991
F02_01UO030X_BUS,0.963,0.865,0.968,0.915,0.169,0.968
F02_01MO030B_BUS,0.974,0.776,0.974,0.973,0.973,0.973
F02_01LO030T_BUS,0.967,0.762,0.967,0.907,0.754,0.929
F02_01LO030O_BUS,0.960,0.728,0.960,0.821,0.821,0.952
F02_01JO030D_BUS,0.958,0.804,0.958,0.980,0.980,0.958
F02_026C020X_BUS,0.962,0.741,0.962,0.930,0.454,0.934
F02_205C010C_BUS,0.963,0.765,0.963,0.981,0.981,0.974
F02_404O030M_BUS,0.945,0.884,0.945,0.850,0.920,0.942
F02_01QO0304_BUS,0.972,0.826,0.972,0.938,0.347,0.953
F02_20TC010A_BUS,0.911,0.812,0.915,0.849,0.876,0.915
F02_206C010K_BUS,0.977,0.780,0.977,0.257,0.975,0.975
F02_01JO030L_BUS,0.960,0.734,0.960,0.986,0.986,0.967
F02_403O030F_BUS,0.961,0.678,0.961,0.171,0.961,0.961
F02_01DC0210_BUS,0.977,0.845,0.977,0.935,0.284,0.952
F02_013C0204_BUS,0.978,0.822,0.978,0.966,0.454,0.966
F02_01WC020E_BUS,0.976,0.926,0.976,0.550,0.310,0.958
F02_20GO010O_BUS,0.966,0.831,0.966,0.942,0.308,0.940
F02_02CO030F_BUS,0.970,0.886,0.970,0.751,0.592,0.931
F02_01FO0316_BUS,0.963,0.949,0.971,0.923,0.232,0.971
F02_01GC0205_BUS,0.973,0.913,0.973,0.914,0.082,0.972
F02_021C020N_BUS,0.945,0.779,0.945,0.961,0.961,0.948
F02_018C020Z_BUS,0.938,0.660,0.938,0.972,0.972,0.960
F02_02CO030W_BUS,0.951,0.729,0.951,0.065,0.158,0.936
F02_014C020H_BUS,0.943,0.761,0.960,0.019,0.942,0.960
F02_40JO030B_BUS,0.947,0.647,0.947,0.540,0.305,0.947
F02_027O030F_BUS,0.979,0.784,0.979,0.969,0.000,0.975
F02_011O030X_BUS,0.973,0.906,0.973,0.950,0.703,0.950
F02_405C0213_BUS,0.966,0.815,0.966,0.918,0.681,0.958
F02_40FO0317_BUS,0.943,0.759,0.948,0.876,0.251,0.948
F02_01BO0318_BUS,0.961,0.860,0.961,0.910,0.013,0.959
F02_01QO0308_BUS,0.962,0.824,0.962,0.924,0.593,0.938
F02_40EC020I_BUS,0.973,0.905,0.973,0.470,0.448,0.956
F02_016O030Y_BUS,0.955,0.784,0.955,0.930,0.888,0.919
F02_01RC020X_BUS,0.963,0.901,0.967,0.445,0.290,0.967
F02_20IC010F_BUS,0.959,0.674,0.959,0.152,0.934,0.934
F02_208C0103_BUS,0.967,0.828,0.967,0.913,0.274,0.926
F02_403C020O_BUS,0.974,0.816,0.974,0.930,0.324,0.964
F02_021C0213_BUS,0.965,0.726,0.965,0.116,0.891,0.942
F02_405C020O_BUS,0.956,0.806,0.956,0.906,0.734,0.954
F02_01YC020K_BUS,0.952,0.803,0.952,0.830,0.045,0.941
F02_40AC0203_BUS,0.978,0.783,0.956,0.978,0.979,0.979
F02_20EO010F_BUS,0.918,0.732,0.918,0.161,0.535,0.915
F02_409O0302_BUS,0.977,0.907,0.977,0.892,0.404,0.962
F02_015C020S_BUS,0.963,0.806,0.955,0.963,0.688,0.955
F02_02BC020R_BUS,0.966,0.830,0.966,0.913,0.372,0.937
F02_011C021A_BUS,0.961,0.804,0.961,0.976,0.976,0.954
F02_01RC020V_BUS,0.954,0.794,0.958,0.944,0.729,0.958
F02_016O0312_BUS,0.942,0.662,0.942,0.256,0.161,0.859
F02_209O010K_BUS,0.969,0.825,0.969,0.971,0.971,0.967
F02_01GO030M_BUS,0.930,0.853,0.930,0.528,0.595,0.898
F02_40KO0303_BUS,0.977,0.904,0.977,0.354,0.265,0.947
F02_01QO030T_BUS,0.972,0.903,0.981,0.978,0.978,0.981
F02_409C0218_BUS,0.941,0.765,0.941,0.884,0.821,0.938
F02_40MC0209_BUS,0.967,0.832,0.967,0.932,0.019,0.965
F02_01WC021B_BUS,0.959,0.759,0.959,0.981,0.981,0.956
F02_024O0301_BUS,0.967,0.873,0.967,0.883,0.176,0.948
F02_01JC020J_BUS,0.982,0.846,0.982,0.955,0.473,0.969
F02_01LC0210_BUS,0.958,0.916,0.958,0.906,0.319,0.954
F02_20PO0104_BUS,0.951,0.870,0.961,0.000,0.983,0.983
F02_027C021D_BUS,0.964,0.684,0.967,0.928,0.729,0.967
F02_01JO0303_BUS,0.949,0.950,0.950,0.248,0.066,0.918
F02_40BC021D_BUS,0.919,0.747,0.934,0.975,0.975,0.944
F02_01UO030K_BUS,0.972,0.886,0.972,0.098,0.109,0.949
F02_20BC010C_BUS,0.977,0.956,0.977,0.901,0.198,0.977
F02_409C021C_BUS,0.975,0.860,0.975,0.957,0.288,0.955
F02_20IO0107_BUS,0.966,0.866,0.966,0.661,0.249,0.960
F02_018C020R_BUS,0.938,0.776,0.948,0.973,0.973,0.948
F02_40KO030W_BUS,0.967,0.766,0.967,0.891,0.559,0.934
F02_405O030R_BUS,0.972,0.881,0.972,0.665,0.564,0.918
F02_011O0307_BUS,0.962,0.734,0.962,0.490,0.909,0.937
F02_02EC021B_BUS,0.929,0.751,0.929,0.929,0.244,0.929
F02_207O010L_BUS,0.972,0.905,0.972,0.943,0.146,0.964
F02_02CO0309_BUS,0.967,0.812,0.974,0.921,0.725,0.974
F02_01IC020S_BUS,0.952,0.828,0.957,0.901,0.609,0.957
F02_016O030A_BUS,0.979,0.844,0.979,0.952,0.297,0.977
F02_01KO030K_BUS,0.956,0.795,0.956,0.919,0.149,0.952
F02_027O0308_BUS,0.957,0.810,0.957,0.923,0.335,0.934
F02_01YC020S_BUS,0.943,0.943,0.962,0.797,0.875,0.962
F02_40MO0316_BUS,0.975,0.635,0.975,0.889,0.141,0.947
F02_01YC0211_BUS,0.952,0.736,0.952,0.911,0.804,0.892
F02_019O0311_BUS,0.982,0.915,0.982,0.376,0.326,0.967
F02_016O0308_BUS,0.962,0.816,0.962,0.720,0.751,0.886
F02_01EO030H_BUS,0.909,0.775,0.955,0.937,0.937,0.955
F02_20HC010F_BUS,0.943,0.712,0.957,0.341,0.475,0.957
F02_40AO0306_BUS,0.965,0.799,0.966,0.923,0.559,0.966
F02_02CO030V_BUS,0.975,0.904,0.975,0.862,0.458,0.952
F02_408C020F_BUS,0.969,0.777,0.969,0.949,0.888,0.962
F02_01FO030N_BUS,0.957,0.623,0.957,0.873,0.924,0.941
F02_017O030L_BUS,0.951,0.798,0.952,0.952,0.846,0.952
F02_209C0104_BUS,0.942,0.874,0.942,0.365,0.834,0.928
F02_20FO0107_BUS,0.956,0.783,0.958,0.888,0.237,0.958
F02_406O030Z_BUS,0.983,0.902,0.983,0.930,0.173,0.974
F02_026O030S_BUS,0.954,0.762,0.954,0.897,0.952,0.943
F02_40GC021A_BUS,0.975,0.798,0.975,0.983,0.985,0.985
F02_206O0105_BUS,0.951,0.726,0.951,0.942,0.942,0.935
F02_40NO030L_BUS,0.965,0.763,0.965,0.174,0.969,0.969
F02_40FC020H_BUS,0.970,0.899,0.970,0.980,0.980,0.953
F02_40NO0310_BUS,0.954,0.885,0.954,0.705,0.391,0.947
F02_406C020W_BUS,0.942,0.774,0.942,0.935,0.859,0.935
F02_404O030R_BUS,0.978,0.826,0.978,0.939,0.805,0.955
F02_40JO0305_CAF,0.965,0.676,0.977,0.991,0.991,0.988
F02_207O0104_CAF,0.977,0.960,0.977,0.984,0.984,0.980
F02_017C0205_CAF,0.975,0.971,0.975,0.994,0.997,0.997
F02_406O031B_CAF,0.982,0.835,0.991,0.986,0.993,0.993
F02_40NC020E_CAF,0.964,0.867,0.964,0.994,0.994,0.992
F02_01TC0217_CAF,0.987,0.865,0.987,0.996,0.996,0.991
F02_01UO0307_CAF,0.979,0.964,0.979,0.778,0.985,0.985
F02_01RO030L_CAF,0.968,0.735,0.968,0.987,0.987,0.980
F02_015C0211_CAF,0.978,0.928,0.978,0.982,0.982,0.958
F02_017C020B_CAF,0.961,0.881,0.970,0.995,0.995,0.992
F02_01ZO030H_CAF,0.985,0.889,0.985,0.989,0.989,0.982
F02_014O031D_CAF,0.974,0.842,0.988,0.986,0.994,0.994
F02_409O030M_CAF,0.972,0.763,0.972,0.987,0.990,0.990
F02_017O030J_CAF,0.948,0.937,0.948,0.981,0.983,0.983
F02_205O010Q_CAF,0.972,0.796,0.987,0.988,0.993,0.993
F02_02BC0212_CAF,0.983,0.983,0.983,0.994,0.996,0.996
F02_40MO0312_CAF,0.981,0.965,0.981,0.994,0.994,0.983
F02_407O030R_CAF,0.961,0.744,0.974,0.972,0.994,0.994
F02_01WO0308_CAF,0.969,0.966,0.969,0.988,0.991,0.991
F02_01ZC021A_CAF,0.956,0.751,0.978,0.994,0.994,0.988
F02_208O010G_CAF,0.963,0.767,0.980,0.992,0.993,0.993
F02_018O0310_CAF,0.982,0.865,0.982,0.985,0.995,0.995
F02_40AO0303_CAF,0.965,0.784,0.965,0.983,0.994,0.994
F02_028C0209_CAF,0.979,0.966,0.979,0.489,0.989,0.989
F02_01EC0219_CAF,0.984,0.929,0.984,0.991,0.991,0.981
F02_40FO030T_CAF,0.981,0.948,0.981,0.992,0.993,0.993
F02_020C0217_CAF,0.978,0.969,0.978,0.994,0.994,0.987
F02_409O0317_CAF,0.978,0.890,0.978,0.986,0.986,0.965
F02_028C020K_CAF,0.928,0.963,0.941,0.989,0.993,0.993
F02_407C0212_CAF,0.982,0.876,0.988,0.986,0.992,0.992
F02_209C0105_CAF,0.965,0.800,0.969,0.969,0.982,0.982
F02_015C020L_CAF,0.975,0.837,0.978,0.980,0.993,0.993
F02_404C020C_CAF,0.964,0.955,0.964,0.984,0.984,0.984
F02_01YO0307_CAF,0.980,0.767,0.980,0.990,0.990,0.983
F02_404O030S_CAF,0.969,0.949,0.969,0.982,0.988,0.988
F02_20VC0102_CAF,0.980,0.979,0.980,0.993,0.995,0.995
F02_01EC0213_CAF,0.932,0.770,0.939,0.973,0.985,0.985
F02_01PC0208_CAF,0.965,0.726,0.970,0.990,0.990,0.988
F02_407O030Y_CAF,0.978,0.802,0.982,0.991,0.994,0.994
F02_40NC020I_CAF,0.970,0.964,0.970,0.995,0.995,0.979
F02_013O030W_CAF,0.965,0.790,0.969,0.992,0.992,0.992
F02_204O010K_CAF,0.986,0.764,0.987,0.988,0.995,0.995
F02_40FC020G_CAF,0.982,0.823,0.986,0.985,0.993,0.993
F02_406O0314_CAF,0.968,0.946,0.968,0.993,0.994,0.994
F02_02CC020H_CAF,0.946,0.946,0.944,0.965,0.972,0.972
F02_013O030O_CAF,0.972,0.912,0.972,0.989,0.989,0.974
F02_020O0307_CAF,0.970,0.666,0.979,0.979,0.993,0.993
F02_205O010K_CAF,0.990,0.963,0.990,0.996,0.996,0.994
F02_407O0312_CAF,0.979,0.880,0.979,0.984,0.984,0.974
F02_406C0213_CAF,0.968,0.682,0.975,0.991,0.991,0.984
F02_40JO030A_CAF,0.981,0.943,0.981,0.993,0.993,0.991
F02_01EC020K_CAF,0.980,0.941,0.980,0.989,0.989,0.986
F02_40PC020T_CAF,0.966,0.732,0.974,0.963,0.986,0.986
F02_20RC010J_CAF,0.958,0.954,0.958,0.990,0.990,0.973
F02_029O030D_CAF,0.978,0.946,0.978,0.993,0.993,0.992
F02_409C020A_CAF,0.953,0.919,0.953,0.993,0.993,0.990
F02_20VC010O_CAF,0.962,0.924,0.962,0.992,0.995,0.995
F02_013C020X_CAF,0.986,0.973,0.986,0.995,0.997,0.997
F02_40DO0312_CAF,0.975,0.720,0.975,0.990,0.992,0.992
F02_406C020V_CAF,0.994,0.978,0.994,0.994,0.996,0.996
F02_015C021I_CAF,0.910,0.929,0.919,0.985,0.985,0.985
F02_026O030G_CAF,0.968,0.757,0.981,0.979,0.993,0.993
F02_01BO030M_CAF,0.948,0.697,0.952,0.964,0.986,0.986
F02_206O010P_CAF,0.981,0.967,0.981,0.993,0.993,0.989
F02_404O030Y_CAF,0.971,0.781,0.980,0.991,0.992,0.992
F02_011O030L_CAF,0.976,0.771,0.976,0.984,0.989,0.989
F02_406C0210_CAF,0.965,0.955,0.965,0.993,0.993,0.983
F02_403C020X_CAF,0.985,0.968,0.985,0.992,0.992,0.991
F02_20BC010E_CAF,0.966,0.856,0.969,0.995,0.995,0.993
F02_020O030L_CAF,0.972,0.972,0.968,0.994,0.994,0.992
F02_403C020L_CAF,0.963,0.949,0.963,0.991,0.993,0.993
F02_40MC0214_CAF,0.971,0.769,0.977,0.988,0.993,0.993
F02_405C020A_CAF,0.971,0.791,0.971,0.988,0.988,0.985
F02_029O030F_CAF,0.981,0.857,0.986,0.990,0.995,0.995
F02_02CC021C_CAF,0.975,0.736,0.984,0.984,0.994,0.994
F02_018O030B_CAF,0.978,0.772,0.978,0.980,0.988,0.988
F02_02EC021C_CAF,0.982,0.975,0.982,0.990,0.995,0.995
F02_40JO0319_CAF,0.967,0.943,0.967,0.993,0.993,0.992
F02_01IC021D_CAF,0.965,0.726,0.978,0.992,0.992,0.991
F02_01UO031D_CAF,0.970,0.953,0.970,0.990,0.994,0.994
F02_404O0315_CAF,0.986,0.962,0.986,0.998,0.998,0.992
F02_015C021G_CAF,0.964,0.929,0.964,0.984,0.991,0.991
F02_20NC010H_CAF,0.964,0.879,0.967,0.995,0.995,0.991
F02_40PC0210_CAF,0.977,0.950,0.977,0.996,0.996,0.995
F02_01JO0302_CAF,0.986,0.866,0.986,0.984,0.996,0.996
F02_20RO0109_CAF,0.972,0.786,0.984,0.983,0.992,0.992
F02_406C0217_CAF,0.979,0.800,0.987,0.989,0.992,0.992
F02_01YC020O_CAF,0.992,0.963,0.992,0.998,0.998,0.995
F02_02BO030S_CAF,0.952,0.760,0.978,0.991,0.991,0.987
F02_02CC020O_CAF,0.980,0.946,0.980,0.985,0.985,0.980
F02_408C0206_CAF,0.978,0.952,0.978,0.996,0.996,0.984
F02_20RC0102_CAF,0.978,0.824,0.978,0.986,0.994,0.994
F02_20QC0101_CAF,0.975,0.876,0.975,0.989,0.989,0.982
F02_408O030W_CAF,0.972,0.643,0.972,0.990,0.990,0.987
F02_01IO030N_CAF,0.982,0.958,0.982,0.993,0.995,0.995
F02_40BC020F_CAF,0.988,0.965,0.988,0.996,0.996,0.991
F02_20FO010O_CAF,0.977,0.947,0.977,0.989,0.989,0.985
F02_01EC020T_CAF,0.965,0.711,0.975,0.993,0.993,0.990
F02_01QO030V_CAF,0.981,0.784,0.983,0.989,0.994,0.994
F02_20FO0105_CAF,0.973,0.810,0.981,0.994,0.996,0.996
F02_017C020N_PED,0.990,0.922,0.990,0.387,0.992,0.992
F02_40EO030U_PED,0.988,0.912,0.988,0.226,0.994,0.994
F02_401O030C_PED,0.984,0.861,0.984,0.341,0.993,0.993
F02_403C020J_PED,0.991,0.918,0.991,0.539,0.992,0.992
F02_406O030J_PED,0.990,0.893,0.990,0.985,0.616,0.985
F02_406C0203_PED,0.988,0.828,0.988,0.528,0.995,0.995
F02_40EC020H_PED,0.985,0.832,0.985,0.377,0.993,0.993
F02_015C020J_PED,0.988,0.894,0.988,0.333,0.994,0.994
F02_208O0106_PED,0.988,0.815,0.988,0.436,0.996,0.996
F02_029C021A_PED,0.991,0.922,0.991,0.903,0.719,0.973
F02_40MC0210_PED,0.985,0.849,0.985,0.478,0.983,0.983
F02_20VO010B_PED,0.993,0.929,0.993,0.573,0.948,0.978
F02_020C021C_PED,0.978,0.879,0.978,0.437,0.995,0.995
F02_01IO0302_PED,0.990,0.896,0.990,0.648,0.939,0.977
F02_01TO030I_PED,0.978,0.773,0.978,0.443,0.990,0.990
F02_02EC0211_PED,0.992,0.923,0.992,0.712,0.865,0.974
F02_40GC020T_PED,0.993,0.890,0.993,0.391,0.864,0.980
F02_409O030I_PED,0.983,0.838,0.983,0.980,0.945,0.980
F02_027C020X_PED,0.991,0.877,0.991,0.446,0.892,0.981
F02_029C020G_PED,0.985,0.909,0.985,0.296,0.987,0.987
F02_027C0216_PED,0.990,0.839,0.990,0.736,0.774,0.963
F02_01YC0205_PED,0.990,0.938,0.990,0.229,0.989,0.989
F02_40FO030Q_PED,0.991,0.865,0.991,0.477,0.570,0.971
F02_20CO010G_PED,0.990,0.886,0.990,0.616,0.976,0.976
F02_40NO0301_PED,0.986,0.909,0.986,0.991,0.991,0.989
F02_409O031A_PED,0.985,0.867,0.985,0.495,0.994,0.994
F02_01PO030I_PED,0.986,0.907,0.986,0.473,0.993,0.993
F02_401O0318_PED,0.989,0.828,0.989,0.282,0.996,0.996
F02_40BC020I_PED,0.984,0.857,0.984,0.990,0.990,0.984
F02_01FC020N_PED,0.987,0.871,0.987,0.432,0.996,0.996
F02_20DO010F_PED,0.987,0.891,0.987,0.476,0.996,0.996
F02_01DO0305_PED,0.993,0.928,0.993,0.241,0.972,0.981
F02_40MO030B_PED,0.952,0.806,0.968,0.403,0.986,0.986
F02_016C0203_PED,0.990,0.915,0.990,0.985,0.989,0.989
F02_20GC010A_PED,0.989,0.881,0.989,0.291,0.993,0.993
F02_01WC0214_PED,0.984,0.866,0.984,0.385,0.992,0.992
F02_01EC020Y_PED,0.987,0.876,0.987,0.000,0.893,0.968
F02_20GO010L_PED,0.983,0.765,0.983,0.658,0.992,0.992
F02_20GO0101_PED,0.984,0.888,0.984,0.487,0.990,0.990
F02_40JC020Q_PED,0.970,0.888,0.970,0.990,0.990,0.980
F02_01UC020G_PED,0.987,0.850,0.987,0.614,0.691,0.966
F02_405O030Z_PED,0.991,0.856,0.991,0.828,0.238,0.968
F02_011O030F_PED,0.977,0.915,0.977,0.993,0.993,0.993
F02_40PO0313_PED,0.972,0.842,0.972,0.275,0.810,0.964
F02_014C0215_PED,0.989,0.874,0.989,0.402,0.989,0.989
F02_01JO030K_PED,0.989,0.846,0.989,0.550,0.989,0.989
F02_20CO010P_PED,0.993,0.940,0.993,0.432,0.994,0.994
F02_205C010M_PED,0.989,0.814,0.989,0.350,0.991,0.991
F02_01YO0301_PED,0.987,0.886,0.987,0.985,0.628,0.983
F02_408O030A_PED,0.994,0.925,0.994,0.661,0.993,0.993
F02_207C0101_PED,0.987,0.885,0.987,0.401,0.995,0.995
F02_408C0205_PED,0.988,0.879,0.988,0.473,0.995,0.995
F02_404O0319_PED,0.990,0.896,0.990,0.524,0.990,0.990
F02_01QO030Y_PED,0.977,0.902,0.977,0.995,0.995,0.989
F02_207O010H_PED,0.987,0.873,0.987,0.984,0.934,0.984
F02_408C020S_PED,0.993,0.896,0.993,0.319,0.997,0.997
F02_403C020K_PED,0.988,0.873,0.988,0.385,0.993,0.993
F02_406C020H_PED,0.983,0.868,0.983,0.418,0.988,0.988
F02_408O030D_PED,0.988,0.871,0.988,0.986,0.689,0.986
F02_407C020F_PED,0.990,0.877,0.990,0.366,0.995,0.995
F02_01EO030C_PED,0.991,0.897,0.991,0.321,0.914,0.971
F02_407O0319_PED,0.982,0.934,0.982,0.978,0.993,0.993
F02_40KC020I_PED,0.991,0.881,0.991,0.000,0.988,0.988
F02_026O0319_PED,0.989,0.892,0.989,0.458,0.803,0.987
F02_40FC021A_PED,0.987,0.831,0.987,0.000,0.574,0.965
F02_01WC0212_PED,0.981,0.879,0.981,0.989,0.989,0.975
F02_021C020P_PED,0.992,0.871,0.992,0.997,0.997,0.995
F02_405O0314_PED,0.992,0.837,0.992,0.575,0.995,0.995
F02_40AO031C_PED,0.989,0.936,0.989,0.993,0.995,0.995
F02_01BC021F_PED,0.986,0.876,0.986,0.547,0.994,0.994
F02_40PC0219_PED,0.992,0.759,0.992,0.532,0.993,0.993
F02_40AO0315_PED,0.990,0.950,0.990,0.665,0.981,0.987
F02_20CO010M_PED,0.990,0.806,0.990,0.362,0.995,0.995
F02_403C020N_PED,0.987,0.911,0.987,0.428,0.988,0.988
F02_01JO030W_PED,0.991,0.887,0.991,0.546,0.956,0.982
F02_207O010E_PED,0.995,0.867,0.995,0.395,0.930,0.974
F02_408C020H_PED,0.988,0.861,0.988,0.527,0.991,0.991
F02_40PO030P_PED,0.990,0.913,0.990,0.992,0.962,0.992
F02_404C0211_PED,0.991,0.908,0.991,0.609,0.994,0.994
F02_01GC020I_PED,0.987,0.835,0.987,0.530,0.996,0.996
F02_20MC010M_PED,0.993,0.920,0.993,0.000,0.611,0.982
F02_024C021C_PED,0.984,0.916,0.984,0.995,0.995,0.987
F02_013O030G_PED,0.990,0.901,0.990,0.648,0.786,0.964
F02_408C020C_PED,0.995,0.945,0.995,0.632,0.996,0.996
F02_20PC0107_PED,0.988,0.862,0.988,0.311,0.978,0.978
F02_01ZO0308_PED,0.988,0.863,0.988,0.985,0.930,0.985
F02_01FO0307_PED,0.990,0.916,0.990,0.619,0.952,0.982
F02_027O0306_PED,0.987,0.871,0.987,0.582,0.994,0.994
F02_013C020Y_PED,0.985,0.892,0.985,0.271,0.992,0.992
F02_206O010Q_PED,0.992,0.912,0.992,0.992,0.995,0.995
F02_205O010F_PED,0.990,0.850,0.990,0.594,0.774,0.975
F02_40KO030J_PED,0.988,0.840,0.988,0.569,0.993,0.993
F02_408O031B_PED,0.989,0.898,0.989,0.412,0.985,0.985
F02_01ZO0317_PED,0.996,0.940,0.996,0.569,0.997,0.997
F02_027C020J_PED,0.989,0.845,0.989,0.992,0.993,0.993
F02_01KO030N_PED,0.989,0.900,0.989,0.000,0.762,0.977
F02_016O030N_PED,0.990,0.874,0.990,0.303,0.973,0.973
F02_20VO010E_PED,0.992,0.928,0.992,0.000,0.923,0.977
F02_20FO0106_PED,0.989,0.897,0.989,0.839,0.979,0.979
F02_015O030D_PED,0.994,0.859,0.994,0.485,0.995,0.995
F02_013O030U_STR,0.669,0.277,0.630,0.669,0.543,0.004
F02_01GO030Q_STR,0.966,0.755,0.966,0.991,0.991,0.966
F02_01LO0302_STR,0.986,0.871,0.986,0.979,0.960,0.979
F02_40AC020X_STR,0.952,0.872,0.952,0.953,0.955,0.955
F02_206O0104_STR,0.574,0.241,0.574,0.301,0.370,0.544
F02_029O0312_STR,0.931,0.812,0.931,0.944,0.964,0.964
F02_406O0310_STR,0.972,0.874,0.972,0.985,0.984,0.985
F02_408O030U_STR,0.933,0.680,0.933,0.902,0.952,0.952
F02_01FO030V_STR,0.993,0.870,0.993,0.990,0.991,0.991
F02_02CC021B_STR,0.994,0.873,0.994,0.992,0.992,0.986
F02_40MO030N_STR,0.850,0.511,0.910,0.898,0.876,0.910
F02_01DC021E_STR,0.990,0.932,0.990,0.976,0.982,0.982
F02_01WC0202_STR,0.991,0.924,0.991,0.992,0.992,0.981
F02_206C0106_STR,0.982,0.806,0.982,0.994,0.994,0.969
F02_20GO010E_STR,0.946,0.581,0.946,0.979,0.979,0.875
F02_028O0316_STR,0.977,0.434,0.977,0.974,0.974,0.938
F02_20OO010R_STR,0.944,0.718,0.944,0.959,0.945,0.959
F02_208O0102_STR,0.943,0.734,0.943,0.979,0.979,0.923
F02_019C021A_STR,0.948,0.729,0.948,0.979,0.979,0.849
F02_01EO0312_STR,0.951,0.547,0.941,0.976,0.976,0.799
F02_017C020U_STR,0.994,0.874,0.994,0.984,0.982,0.984
F02_029C020B_STR,0.981,0.894,0.981,0.979,0.969,0.979
F02_40PC020Z_STR,0.841,0.570,0.829,0.841,0.542,0.668
F02_01JO0304_STR,0.947,0.846,0.926,0.947,0.963,0.963
F02_01KC0201_STR,0.942,0.659,0.942,0.971,0.964,0.971
F02_40HC020P_STR,0.960,0.693,0.960,0.990,0.990,0.968
F02_409O0303_STR,0.978,0.850,0.978,0.996,0.996,0.986
F02_20PO010J_STR,0.956,0.788,0.956,0.964,0.982,0.982
F02_018O030U_STR,0.979,0.762,0.979,0.994,0.994,0.971
F02_01TC0211_STR,0.638,0.589,0.638,0.865,0.865,0.597
F02_206C0101_STR,0.950,0.644,0.950,0.990,0.990,0.960
F02_407C0213_STR,0.922,0.744,0.922,0.951,0.951,0.941
F02_02EO030H_STR,0.985,0.842,0.985,0.956,0.977,0.977
F02_40DO0318_STR,0.951,0.616,0.951,0.899,0.627,0.911
F02_016C020B_STR,0.995,0.908,0.995,0.983,0.983,0.955
F02_011O0312_STR,0.974,0.747,0.974,0.967,0.958,0.967
F02_20BC010F_STR,0.976,0.776,0.976,0.995,0.995,0.982
